Time stamp,Voltage (mV),Time,Categories
15:38:13.804 -> 3010,0.68,3010,Rest
15:38:13.804 -> 3020,0.66,3020,Rest
15:38:13.804 -> 3032,0.64,3032,Rest
15:38:13.842 -> 3042,0.64,3042,Rest
15:38:13.842 -> 3052,0.62,3052,Rest
15:38:13.842 -> 3063,0.6,3063,Rest
15:38:13.842 -> 3074,0.8,3074,Rest
15:38:13.877 -> 3085,0.77,3085,Rest
15:38:13.877 -> 3095,0.75,3095,Rest
15:38:13.877 -> 3105,0.73,3105,Rest
15:38:13.910 -> 3117,0.7,3117,Rest
15:38:13.910 -> 3127,0.68,3127,Rest
15:38:13.910 -> 3137,0.66,3137,Rest
15:38:13.948 -> 3148,0.64,3148,Rest
15:38:13.948 -> 3159,0.62,3159,Rest
15:38:13.948 -> 3170,0.6,3170,Rest
15:38:13.948 -> 3180,0.59,3180,Rest
15:38:13.981 -> 3190,0.57,3190,Rest
15:38:13.981 -> 3202,0.55,3202,Rest
15:38:13.981 -> 3212,0.53,3212,Rest
15:38:14.016 -> 3222,0.52,3222,Rest
15:38:14.016 -> 3233,0.5,3233,Rest
15:38:14.016 -> 3244,0.49,3244,Rest
15:38:14.052 -> 3254,0.47,3254,Rest
15:38:14.052 -> 3265,0.46,3265,Rest
15:38:14.052 -> 3275,0.45,3275,Rest
15:38:14.052 -> 3287,0.44,3287,Rest
15:38:14.087 -> 3297,0.7,3297,Rest
15:38:14.087 -> 3307,0.69,3307,Rest
15:38:14.087 -> 3318,0.76,3318,Rest
15:38:14.121 -> 3329,2.38,3329,Active
15:38:14.121 -> 3339,2.76,3339,Active
15:38:14.121 -> 3350,2.6,3350,Active
15:38:14.155 -> 3360,4.29,3360,Active
15:38:14.155 -> 3371,4.03,3371,Active
15:38:14.155 -> 3382,3.71,3382,Active
15:38:14.155 -> 3392,3.45,3392,Active
15:38:14.193 -> 3403,4.44,3403,Active
15:38:14.193 -> 3414,4.45,3414,Active
15:38:14.193 -> 3424,4.46,3424,Active
15:38:14.226 -> 3435,4.5,3435,Active
15:38:14.226 -> 3445,4.31,3445,Active
15:38:14.226 -> 3456,3.95,3456,Active
15:38:14.259 -> 3467,3.66,3467,Active
15:38:14.259 -> 3477,3.7,3477,Active
15:38:14.259 -> 3488,4.26,3488,Active
15:38:14.298 -> 3499,4.43,3499,Active
15:38:14.298 -> 3509,4.49,3509,Active
15:38:14.298 -> 3520,4.49,3520,Active
15:38:14.298 -> 3530,4.45,3530,Active
15:38:14.332 -> 3540,4.28,3540,Active
15:38:14.332 -> 3552,3.93,3552,Active
15:38:14.332 -> 3562,3.64,3562,Active
15:38:14.367 -> 3573,4.48,3573,Active
15:38:14.367 -> 3584,4.46,3584,Active
15:38:14.367 -> 3594,4.31,3594,Active
15:38:14.367 -> 3605,4.33,3605,Active
15:38:14.401 -> 3615,4.4,3615,Active
15:38:14.401 -> 3625,4.02,3625,Active
15:38:14.401 -> 3637,4.5,3637,Active
15:38:14.436 -> 3647,4.34,3647,Active
15:38:14.436 -> 3658,4.27,3658,Active
15:38:14.436 -> 3668,3.92,3668,Active
15:38:14.469 -> 3679,4.44,3679,Active
15:38:14.469 -> 3690,4.13,3690,Active
15:38:14.469 -> 3700,4.43,3700,Active
15:38:14.505 -> 3710,4.28,3710,Active
15:38:14.505 -> 3722,4.48,3722,Active
15:38:14.505 -> 3732,4.41,3732,Active
15:38:14.539 -> 3743,4.42,3743,Active
15:38:14.539 -> 3753,4.01,3753,Active
15:38:14.539 -> 3764,4.39,3764,Active
15:38:14.539 -> 3775,4.18,3775,Active
15:38:14.577 -> 3785,3.85,3785,Active
15:38:14.577 -> 3795,4.3,3795,Active
15:38:14.577 -> 3807,4.34,3807,Active
15:38:14.611 -> 3817,3.96,3817,Active
15:38:14.611 -> 3828,3.67,3828,Active
15:38:14.611 -> 3838,3.81,3838,Active
15:38:14.644 -> 3849,4.43,3849,Active
15:38:14.644 -> 3860,4.05,3860,Active
15:38:14.644 -> 3870,4.13,3870,Active
15:38:14.682 -> 3880,4.44,3880,Active
15:38:14.682 -> 3892,4.05,3892,Active
15:38:14.682 -> 3902,3.73,3902,Active
15:38:14.682 -> 3913,4.42,3913,Active
15:38:14.719 -> 3923,4.22,3923,Active
15:38:14.719 -> 3934,4.27,3934,Active
15:38:14.719 -> 3945,3.92,3945,Active
15:38:14.719 -> 3955,4.46,3955,Active
15:38:14.752 -> 3965,4.07,3965,Active
15:38:14.752 -> 3977,4.48,3977,Active
15:38:14.752 -> 3987,4.34,3987,Active
