,x,y,z,muscle1,muscle2,muscle3
0,391.0,393.0,462.0,458.0,457.0,456.0
1,391.0,391.0,463.0,465.0,467.0,467.0
2,392.0,390.0,462.0,466.0,464.0,463.0
3,391.0,389.0,463.0,456.0,451.0,448.0
4,391.0,389.0,463.0,452.0,444.0,440.0
5,392.0,389.0,463.0,458.0,454.0,451.0
6,393.0,389.0,462.0,464.0,464.0,463.0
7,392.0,389.0,462.0,462.0,460.0,456.0
8,392.0,388.0,463.0,455.0,447.0,442.0
9,392.0,389.0,462.0,453.0,445.0,440.0
10,392.0,389.0,463.0,461.0,457.0,456.0
11,392.0,390.0,463.0,465.0,466.0,463.0
12,392.0,389.0,462.0,460.0,457.0,452.0
13,392.0,389.0,463.0,453.0,445.0,438.0
14,392.0,389.0,462.0,455.0,449.0,445.0
15,391.0,389.0,462.0,462.0,462.0,460.0
16,392.0,389.0,462.0,464.0,464.0,461.0
17,392.0,389.0,462.0,458.0,453.0,448.0
18,392.0,389.0,463.0,452.0,444.0,438.0
19,392.0,389.0,463.0,456.0,452.0,449.0
20,392.0,389.0,463.0,464.0,464.0,464.0
21,392.0,389.0,463.0,464.0,462.0,459.0
22,392.0,389.0,462.0,456.0,450.0,444.0
23,392.0,389.0,462.0,453.0,444.0,438.0
24,392.0,389.0,462.0,459.0,456.0,453.0
25,392.0,389.0,463.0,465.0,466.0,463.0
26,392.0,389.0,463.0,461.0,457.0,452.0
27,392.0,389.0,463.0,453.0,446.0,440.0
28,392.0,388.0,463.0,455.0,449.0,446.0
29,392.0,389.0,463.0,463.0,463.0,461.0
30,392.0,389.0,463.0,464.0,463.0,460.0
31,392.0,389.0,462.0,456.0,450.0,444.0
32,392.0,389.0,462.0,452.0,446.0,441.0
33,392.0,389.0,462.0,459.0,457.0,455.0
34,392.0,390.0,463.0,465.0,466.0,463.0
35,392.0,389.0,462.0,460.0,456.0,451.0
36,392.0,389.0,462.0,453.0,445.0,439.0
37,392.0,389.0,463.0,455.0,450.0,448.0
38,392.0,389.0,463.0,464.0,465.0,462.0
39,392.0,389.0,463.0,463.0,463.0,458.0
40,392.0,389.0,462.0,456.0,449.0,443.0
41,392.0,389.0,463.0,453.0,447.0,441.0
42,391.0,389.0,463.0,461.0,458.0,457.0
43,392.0,389.0,463.0,466.0,466.0,464.0
44,392.0,390.0,462.0,459.0,455.0,450.0
45,392.0,389.0,462.0,453.0,445.0,439.0
46,392.0,389.0,463.0,456.0,452.0,449.0
47,392.0,390.0,463.0,464.0,464.0,463.0
48,392.0,390.0,462.0,463.0,461.0,457.0
49,392.0,389.0,462.0,454.0,448.0,442.0
50,392.0,389.0,463.0,452.0,447.0,442.0
51,392.0,389.0,463.0,461.0,459.0,458.0
52,392.0,390.0,463.0,465.0,464.0,462.0
53,392.0,389.0,462.0,458.0,453.0,448.0
54,392.0,388.0,462.0,452.0,443.0,439.0
55,391.0,389.0,463.0,457.0,453.0,451.0
56,392.0,389.0,462.0,465.0,465.0,463.0
57,392.0,389.0,463.0,462.0,460.0,455.0
58,392.0,389.0,462.0,454.0,447.0,441.0
59,392.0,389.0,462.0,454.0,447.0,443.0
60,392.0,389.0,462.0,462.0,461.0,459.0
61,392.0,390.0,463.0,465.0,464.0,462.0
62,392.0,390.0,463.0,458.0,453.0,447.0
63,392.0,389.0,463.0,452.0,444.0,439.0
64,393.0,389.0,463.0,458.0,455.0,452.0
65,392.0,389.0,462.0,465.0,465.0,464.0
66,392.0,389.0,463.0,462.0,459.0,454.0
67,392.0,389.0,463.0,454.0,446.0,441.0
68,392.0,388.0,463.0,454.0,448.0,444.0
69,392.0,389.0,463.0,463.0,462.0,460.0
70,392.0,389.0,462.0,465.0,464.0,460.0
71,392.0,389.0,462.0,457.0,451.0,445.0
72,392.0,389.0,463.0,452.0,444.0,440.0
73,392.0,389.0,463.0,459.0,456.0,453.0
74,392.0,390.0,462.0,465.0,466.0,463.0
75,392.0,389.0,463.0,461.0,457.0,452.0
76,392.0,389.0,462.0,453.0,445.0,439.0
77,392.0,389.0,464.0,455.0,449.0,446.0
78,392.0,389.0,463.0,463.0,463.0,461.0
79,392.0,389.0,463.0,464.0,463.0,459.0
80,392.0,389.0,463.0,456.0,450.0,444.0
81,392.0,388.0,463.0,452.0,445.0,440.0
82,392.0,389.0,463.0,459.0,457.0,455.0
