,x,y,z,muscle1,muscle2,muscle3
0,564.0,568.0,504.0,13.0,12.0,11.0
1,568.0,570.0,505.0,13.0,12.0,12.0
2,570.0,571.0,505.0,13.0,12.0,12.0
3,571.0,572.0,505.0,13.0,13.0,12.0
4,572.0,572.0,506.0,13.0,12.0,11.0
5,572.0,572.0,506.0,13.0,12.0,12.0
6,572.0,572.0,507.0,13.0,12.0,12.0
7,572.0,572.0,506.0,12.0,11.0,12.0
8,572.0,572.0,506.0,12.0,12.0,11.0
9,572.0,572.0,506.0,12.0,11.0,11.0
10,572.0,572.0,506.0,12.0,12.0,11.0
11,572.0,571.0,506.0,12.0,12.0,10.0
12,571.0,571.0,506.0,12.0,11.0,11.0
13,571.0,570.0,507.0,12.0,11.0,11.0
14,570.0,569.0,507.0,11.0,11.0,11.0
15,569.0,568.0,507.0,12.0,11.0,11.0
16,568.0,567.0,507.0,12.0,11.0,11.0
17,567.0,567.0,507.0,11.0,11.0,10.0
18,567.0,567.0,507.0,12.0,11.0,11.0
19,567.0,565.0,507.0,11.0,11.0,11.0
20,565.0,565.0,507.0,12.0,11.0,10.0
21,565.0,564.0,507.0,11.0,11.0,11.0
22,564.0,564.0,507.0,11.0,11.0,10.0
23,564.0,564.0,507.0,11.0,10.0,10.0
24,564.0,564.0,506.0,11.0,10.0,10.0
25,564.0,564.0,506.0,11.0,10.0,10.0
26,564.0,565.0,507.0,11.0,10.0,10.0
27,565.0,565.0,507.0,11.0,10.0,10.0
28,565.0,566.0,507.0,11.0,10.0,10.0
29,566.0,567.0,508.0,11.0,10.0,10.0
30,567.0,567.0,508.0,11.0,10.0,10.0
31,567.0,569.0,508.0,10.0,10.0,9.0
32,569.0,569.0,508.0,10.0,10.0,10.0
33,569.0,570.0,508.0,11.0,10.0,10.0
34,570.0,570.0,509.0,10.0,10.0,10.0
35,570.0,570.0,508.0,10.0,10.0,9.0
36,570.0,570.0,509.0,11.0,9.0,10.0
37,570.0,571.0,508.0,11.0,9.0,9.0
38,571.0,571.0,509.0,10.0,9.0,9.0
39,571.0,571.0,509.0,10.0,9.0,9.0
40,571.0,571.0,509.0,11.0,9.0,9.0
41,571.0,572.0,509.0,10.0,9.0,9.0
42,572.0,572.0,509.0,9.0,9.0,10.0
43,572.0,572.0,509.0,10.0,9.0,9.0
44,572.0,571.0,508.0,9.0,9.0,9.0
45,571.0,572.0,509.0,9.0,9.0,9.0
46,572.0,572.0,508.0,10.0,8.0,8.0
47,572.0,571.0,508.0,9.0,9.0,8.0
48,571.0,571.0,507.0,9.0,9.0,8.0
49,571.0,571.0,508.0,10.0,9.0,8.0
50,571.0,571.0,507.0,9.0,9.0,9.0
51,571.0,570.0,507.0,9.0,8.0,9.0
52,570.0,570.0,509.0,8.0,8.0,9.0
53,570.0,570.0,508.0,9.0,9.0,9.0
54,570.0,569.0,507.0,9.0,9.0,8.0
55,569.0,569.0,508.0,10.0,9.0,8.0
56,569.0,570.0,508.0,9.0,8.0,8.0
57,570.0,569.0,508.0,9.0,8.0,8.0
58,569.0,568.0,509.0,9.0,8.0,8.0
59,568.0,568.0,510.0,8.0,8.0,7.0
60,568.0,567.0,510.0,9.0,9.0,8.0
61,567.0,567.0,510.0,8.0,8.0,8.0
62,567.0,567.0,511.0,9.0,8.0,8.0
63,567.0,566.0,511.0,9.0,8.0,8.0
64,566.0,566.0,511.0,9.0,8.0,8.0
65,566.0,566.0,511.0,8.0,8.0,8.0
66,566.0,566.0,512.0,8.0,8.0,7.0
67,566.0,566.0,512.0,9.0,7.0,7.0
68,566.0,566.0,512.0,8.0,7.0,8.0
69,566.0,567.0,511.0,8.0,8.0,7.0
70,567.0,567.0,512.0,8.0,8.0,7.0
71,567.0,567.0,512.0,8.0,7.0,7.0
72,567.0,567.0,512.0,7.0,7.0,8.0
73,567.0,567.0,512.0,8.0,7.0,8.0
74,567.0,567.0,512.0,8.0,7.0,7.0
75,567.0,567.0,512.0,8.0,7.0,7.0
76,567.0,567.0,512.0,9.0,7.0,7.0
77,567.0,567.0,513.0,8.0,7.0,7.0
78,567.0,566.0,513.0,8.0,8.0,8.0
79,566.0,566.0,514.0,9.0,7.0,8.0
80,566.0,565.0,515.0,7.0,7.0,7.0
81,565.0,565.0,515.0,7.0,7.0,7.0
82,565.0,564.0,515.0,7.0,7.0,7.0
83,564.0,563.0,515.0,7.0,8.0,7.0
84,563.0,563.0,515.0,7.0,7.0,7.0
85,563.0,563.0,515.0,7.0,7.0,7.0
86,563.0,563.0,515.0,7.0,7.0,7.0
87,563.0,563.0,514.0,7.0,7.0,7.0
88,563.0,564.0,515.0,8.0,8.0,7.0
89,564.0,565.0,514.0,7.0,7.0,7.0
90,565.0,566.0,514.0,7.0,7.0,7.0
91,566.0,567.0,514.0,7.0,7.0,7.0
92,567.0,569.0,513.0,6.0,7.0,7.0
93,569.0,569.0,513.0,8.0,7.0,7.0
94,569.0,570.0,513.0,7.0,7.0,7.0
95,570.0,572.0,514.0,6.0,7.0,6.0
96,572.0,574.0,514.0,7.0,7.0,7.0
97,574.0,575.0,515.0,7.0,7.0,7.0
98,575.0,576.0,515.0,7.0,6.0,7.0
99,576.0,576.0,516.0,7.0,6.0,7.0
100,576.0,577.0,517.0,7.0,7.0,7.0
101,577.0,576.0,516.0,8.0,7.0,6.0
102,576.0,576.0,516.0,6.0,7.0,7.0
103,576.0,576.0,517.0,7.0,7.0,7.0
104,576.0,577.0,517.0,6.0,7.0,6.0
105,577.0,577.0,517.0,6.0,7.0,7.0
106,577.0,577.0,517.0,7.0,6.0,6.0
107,577.0,578.0,518.0,7.0,6.0,0.0
108,590.0,590.0,549.0,5.0,4.0,4.0
109,590.0,590.0,549.0,4.0,4.0,4.0
110,590.0,590.0,549.0,4.0,4.0,4.0
111,590.0,590.0,549.0,4.0,4.0,4.0
112,590.0,591.0,550.0,4.0,4.0,4.0
113,591.0,591.0,550.0,4.0,4.0,4.0
114,591.0,591.0,550.0,5.0,4.0,4.0
115,591.0,592.0,550.0,4.0,4.0,4.0
116,592.0,592.0,550.0,4.0,4.0,4.0
117,592.0,592.0,550.0,4.0,4.0,4.0
118,592.0,592.0,550.0,4.0,4.0,4.0
119,592.0,592.0,550.0,4.0,4.0,4.0
120,592.0,591.0,551.0,3.0,3.0,4.0
121,591.0,591.0,550.0,4.0,4.0,4.0
122,591.0,591.0,551.0,4.0,4.0,4.0
123,591.0,590.0,550.0,4.0,4.0,5.0
124,590.0,590.0,551.0,4.0,3.0,4.0
125,590.0,590.0,550.0,4.0,4.0,5.0
126,590.0,590.0,550.0,4.0,4.0,4.0
127,590.0,590.0,551.0,4.0,4.0,4.0
128,590.0,589.0,551.0,4.0,4.0,4.0
129,589.0,589.0,550.0,4.0,3.0,4.0
130,589.0,589.0,550.0,4.0,4.0,4.0
131,589.0,588.0,550.0,4.0,4.0,3.0
132,588.0,588.0,550.0,4.0,4.0,4.0
133,588.0,588.0,550.0,4.0,4.0,4.0
134,588.0,588.0,549.0,4.0,4.0,4.0
135,588.0,587.0,550.0,3.0,3.0,4.0
136,587.0,588.0,550.0,4.0,4.0,4.0
137,588.0,587.0,550.0,5.0,4.0,4.0
138,587.0,586.0,549.0,4.0,4.0,4.0
139,586.0,586.0,549.0,4.0,4.0,4.0
140,586.0,586.0,549.0,4.0,4.0,4.0
141,586.0,585.0,549.0,4.0,4.0,4.0
142,585.0,585.0,549.0,4.0,3.0,4.0
143,585.0,584.0,549.0,4.0,4.0,4.0
144,584.0,584.0,549.0,4.0,4.0,4.0
145,584.0,583.0,547.0,4.0,4.0,4.0
146,583.0,583.0,548.0,4.0,4.0,4.0
147,583.0,584.0,548.0,4.0,4.0,3.0
148,584.0,585.0,548.0,4.0,4.0,4.0
149,585.0,586.0,549.0,4.0,3.0,4.0
150,586.0,586.0,550.0,4.0,4.0,4.0
151,586.0,586.0,550.0,4.0,4.0,4.0
152,586.0,587.0,549.0,4.0,4.0,4.0
153,587.0,588.0,549.0,4.0,4.0,4.0
154,588.0,589.0,549.0,4.0,4.0,4.0
155,589.0,590.0,550.0,4.0,4.0,4.0
156,590.0,590.0,550.0,4.0,3.0,4.0
157,590.0,591.0,549.0,4.0,3.0,5.0
158,591.0,592.0,549.0,4.0,3.0,4.0
159,592.0,592.0,549.0,4.0,4.0,4.0
160,592.0,591.0,549.0,4.0,4.0,4.0
161,591.0,592.0,548.0,4.0,4.0,4.0
162,592.0,591.0,548.0,4.0,4.0,4.0
163,591.0,592.0,548.0,4.0,4.0,3.0
164,592.0,592.0,548.0,4.0,3.0,5.0
165,592.0,594.0,549.0,4.0,4.0,4.0
166,594.0,594.0,549.0,4.0,4.0,4.0
167,594.0,595.0,549.0,4.0,4.0,4.0
168,595.0,596.0,550.0,4.0,4.0,4.0
169,596.0,597.0,550.0,4.0,3.0,4.0
170,597.0,598.0,552.0,4.0,4.0,4.0
171,598.0,598.0,551.0,4.0,4.0,4.0
172,598.0,598.0,552.0,3.0,4.0,4.0
173,598.0,598.0,552.0,4.0,4.0,4.0
174,598.0,597.0,552.0,4.0,4.0,3.0
175,597.0,598.0,552.0,4.0,4.0,4.0
176,598.0,598.0,552.0,4.0,4.0,4.0
177,598.0,597.0,552.0,4.0,4.0,4.0
178,597.0,597.0,552.0,3.0,4.0,4.0
179,597.0,596.0,553.0,4.0,4.0,4.0
180,596.0,595.0,553.0,4.0,3.0,4.0
181,595.0,595.0,553.0,4.0,4.0,4.0
182,595.0,594.0,553.0,3.0,4.0,4.0
183,594.0,594.0,553.0,3.0,4.0,4.0
184,594.0,594.0,554.0,4.0,4.0,4.0
185,594.0,595.0,554.0,4.0,4.0,4.0
186,595.0,594.0,555.0,4.0,4.0,4.0
187,594.0,594.0,556.0,4.0,4.0,4.0
188,594.0,594.0,556.0,4.0,4.0,4.0
189,594.0,593.0,556.0,4.0,4.0,4.0
190,593.0,592.0,556.0,4.0,4.0,4.0
191,592.0,592.0,555.0,4.0,4.0,4.0
192,592.0,591.0,555.0,4.0,4.0,4.0
193,591.0,591.0,555.0,4.0,4.0,4.0
194,591.0,591.0,554.0,4.0,3.0,4.0
195,591.0,591.0,554.0,3.0,4.0,4.0
196,591.0,591.0,554.0,3.0,4.0,4.0
197,591.0,592.0,556.0,4.0,4.0,4.0
198,592.0,592.0,556.0,4.0,4.0,4.0
199,592.0,593.0,556.0,4.0,3.0,4.0
200,593.0,593.0,557.0,4.0,4.0,4.0
201,593.0,593.0,557.0,4.0,4.0,4.0
202,593.0,593.0,557.0,4.0,4.0,4.0
203,593.0,592.0,557.0,4.0,4.0,4.0
204,592.0,592.0,557.0,5.0,5.0,4.0
205,592.0,593.0,557.0,5.0,4.0,4.0
206,593.0,593.0,557.0,4.0,4.0,4.0
207,593.0,594.0,557.0,5.0,5.0,4.0
208,594.0,595.0,557.0,4.0,4.0,4.0
209,595.0,594.0,558.0,4.0,4.0,4.0
210,594.0,595.0,557.0,4.0,4.0,4.0
211,595.0,594.0,557.0,5.0,5.0,4.0
212,594.0,594.0,557.0,4.0,4.0,4.0
213,594.0,593.0,557.0,5.0,5.0,4.0
214,593.0,592.0,556.0,4.0,4.0,4.0
215,592.0,591.0,556.0,5.0,4.0,4.0
216,591.0,590.0,556.0,5.0,5.0,5.0
217,590.0,590.0,556.0,5.0,4.0,4.0
218,590.0,590.0,556.0,5.0,4.0,4.0
219,590.0,590.0,556.0,4.0,4.0,5.0
220,590.0,589.0,555.0,4.0,4.0,4.0
221,589.0,590.0,556.0,4.0,4.0,4.0
222,590.0,591.0,555.0,5.0,5.0,4.0
223,591.0,591.0,555.0,5.0,4.0,4.0
224,591.0,591.0,555.0,5.0,4.0,4.0
225,591.0,591.0,555.0,5.0,4.0,4.0
226,591.0,592.0,555.0,4.0,4.0,4.0
227,592.0,591.0,553.0,5.0,5.0,5.0
228,591.0,591.0,553.0,4.0,4.0,4.0
229,591.0,591.0,553.0,4.0,3.0,4.0
230,591.0,591.0,553.0,4.0,4.0,4.0
231,591.0,592.0,553.0,4.0,4.0,4.0
232,592.0,591.0,553.0,4.0,4.0,4.0
233,591.0,591.0,553.0,4.0,4.0,4.0
234,591.0,591.0,553.0,4.0,5.0,4.0
235,591.0,590.0,553.0,5.0,4.0,4.0
236,590.0,590.0,554.0,4.0,4.0,4.0
237,590.0,590.0,554.0,5.0,3.0,4.0
238,590.0,590.0,554.0,4.0,4.0,5.0
239,590.0,590.0,554.0,5.0,4.0,4.0
240,590.0,591.0,555.0,4.0,4.0,4.0
241,591.0,591.0,555.0,4.0,4.0,4.0
242,591.0,591.0,555.0,4.0,5.0,4.0
243,591.0,591.0,555.0,4.0,4.0,4.0
244,591.0,590.0,555.0,5.0,3.0,4.0
245,590.0,590.0,555.0,5.0,4.0,4.0
246,590.0,590.0,555.0,4.0,4.0,4.0
