,x,y,z,muscle1,muscle2,muscle3
0,503.0,615.0,469.0,61.0,73.0,79.0
1,505.0,616.0,469.0,60.0,72.0,79.0
2,505.0,616.0,469.0,60.0,71.0,78.0
3,505.0,616.0,470.0,59.0,70.0,77.0
4,505.0,616.0,469.0,59.0,69.0,76.0
5,505.0,617.0,470.0,58.0,69.0,75.0
6,505.0,616.0,469.0,58.0,68.0,75.0
7,505.0,617.0,470.0,57.0,67.0,74.0
8,505.0,616.0,470.0,56.0,67.0,73.0
9,505.0,616.0,470.0,56.0,66.0,73.0
10,506.0,616.0,470.0,55.0,66.0,72.0
11,505.0,616.0,470.0,55.0,65.0,71.0
12,505.0,617.0,470.0,54.0,65.0,71.0
13,505.0,616.0,470.0,54.0,64.0,69.0
14,505.0,616.0,470.0,53.0,63.0,69.0
15,506.0,617.0,470.0,53.0,62.0,69.0
16,505.0,616.0,470.0,52.0,62.0,67.0
17,505.0,616.0,470.0,52.0,61.0,67.0
18,505.0,616.0,469.0,52.0,61.0,66.0
19,506.0,617.0,469.0,51.0,60.0,66.0
20,505.0,616.0,470.0,51.0,60.0,65.0
21,506.0,616.0,469.0,50.0,59.0,64.0
22,506.0,616.0,470.0,50.0,59.0,64.0
23,505.0,616.0,470.0,49.0,58.0,63.0
24,505.0,617.0,470.0,49.0,57.0,63.0
25,505.0,617.0,470.0,48.0,57.0,62.0
26,505.0,616.0,470.0,48.0,57.0,61.0
27,505.0,616.0,470.0,47.0,56.0,61.0
28,505.0,616.0,470.0,47.0,55.0,61.0
29,505.0,616.0,469.0,47.0,55.0,60.0
30,506.0,616.0,470.0,46.0,55.0,59.0
31,506.0,616.0,470.0,46.0,54.0,59.0
32,505.0,617.0,470.0,45.0,54.0,58.0
33,505.0,617.0,469.0,45.0,53.0,57.0
34,505.0,617.0,470.0,45.0,53.0,57.0
35,506.0,617.0,470.0,44.0,52.0,56.0
36,506.0,616.0,470.0,44.0,52.0,56.0
37,506.0,617.0,470.0,43.0,51.0,55.0
38,506.0,616.0,470.0,43.0,51.0,55.0
39,506.0,616.0,470.0,43.0,51.0,54.0
40,505.0,617.0,470.0,42.0,50.0,54.0
41,505.0,617.0,470.0,42.0,49.0,53.0
42,506.0,617.0,470.0,41.0,48.0,52.0
43,506.0,616.0,470.0,41.0,48.0,52.0
44,505.0,617.0,470.0,41.0,48.0,52.0
45,506.0,616.0,469.0,40.0,47.0,51.0
46,505.0,617.0,470.0,39.0,47.0,50.0
47,505.0,617.0,470.0,39.0,46.0,50.0
48,505.0,617.0,469.0,39.0,46.0,50.0
49,506.0,616.0,470.0,40.0,46.0,49.0
50,505.0,617.0,469.0,38.0,45.0,49.0
51,505.0,617.0,470.0,38.0,45.0,48.0
52,506.0,616.0,469.0,37.0,44.0,48.0
53,505.0,617.0,470.0,37.0,44.0,47.0
54,506.0,616.0,470.0,37.0,44.0,47.0
55,505.0,616.0,470.0,37.0,43.0,47.0
56,505.0,616.0,470.0,36.0,43.0,46.0
57,505.0,616.0,470.0,36.0,43.0,46.0
58,505.0,616.0,470.0,36.0,42.0,45.0
59,505.0,616.0,469.0,35.0,41.0,45.0
60,505.0,616.0,470.0,35.0,41.0,45.0
61,505.0,617.0,470.0,34.0,41.0,44.0
62,506.0,617.0,470.0,35.0,40.0,43.0
63,505.0,617.0,470.0,34.0,40.0,43.0
64,506.0,616.0,470.0,34.0,40.0,43.0
65,505.0,616.0,470.0,34.0,39.0,42.0
66,506.0,616.0,470.0,33.0,39.0,42.0
67,505.0,616.0,470.0,33.0,39.0,42.0
68,506.0,617.0,470.0,33.0,38.0,41.0
69,505.0,616.0,470.0,33.0,38.0,41.0
