,x,y,z,muscle1,muscle2,muscle3
0,602.0,605.0,527.0,10.0,11.0,11.0
1,605.0,606.0,528.0,12.0,11.0,11.0
2,606.0,606.0,528.0,12.0,11.0,11.0
3,606.0,606.0,528.0,12.0,11.0,11.0
4,606.0,606.0,528.0,12.0,11.0,11.0
5,606.0,606.0,528.0,12.0,12.0,10.0
6,606.0,606.0,527.0,11.0,11.0,11.0
7,606.0,606.0,528.0,12.0,11.0,11.0
8,606.0,606.0,528.0,12.0,11.0,10.0
9,606.0,606.0,528.0,12.0,11.0,11.0
10,606.0,607.0,528.0,11.0,11.0,10.0
11,607.0,606.0,529.0,12.0,11.0,11.0
12,606.0,606.0,529.0,11.0,11.0,10.0
13,606.0,606.0,528.0,11.0,11.0,10.0
14,606.0,606.0,529.0,12.0,11.0,10.0
15,606.0,606.0,528.0,11.0,10.0,11.0
16,606.0,606.0,528.0,11.0,10.0,10.0
17,606.0,606.0,529.0,11.0,10.0,10.0
18,606.0,605.0,529.0,10.0,10.0,10.0
19,605.0,606.0,529.0,10.0,10.0,9.0
20,606.0,606.0,528.0,10.0,10.0,10.0
21,606.0,606.0,528.0,10.0,10.0,9.0
22,606.0,606.0,529.0,10.0,10.0,10.0
23,606.0,606.0,528.0,10.0,10.0,10.0
24,606.0,606.0,529.0,10.0,10.0,10.0
25,606.0,606.0,528.0,10.0,9.0,10.0
26,606.0,606.0,528.0,10.0,10.0,9.0
27,606.0,606.0,528.0,10.0,10.0,9.0
28,606.0,606.0,528.0,10.0,10.0,9.0
29,606.0,606.0,528.0,9.0,10.0,8.0
30,606.0,607.0,528.0,10.0,10.0,9.0
31,607.0,607.0,527.0,10.0,9.0,9.0
32,607.0,607.0,528.0,10.0,9.0,9.0
33,607.0,607.0,528.0,10.0,9.0,9.0
34,607.0,607.0,528.0,10.0,10.0,9.0
35,607.0,607.0,528.0,10.0,9.0,8.0
36,607.0,607.0,527.0,10.0,9.0,9.0
37,607.0,607.0,528.0,10.0,9.0,9.0
38,607.0,607.0,528.0,10.0,9.0,9.0
39,607.0,607.0,528.0,10.0,9.0,9.0
40,607.0,607.0,528.0,9.0,9.0,9.0
41,607.0,606.0,528.0,10.0,8.0,9.0
42,606.0,607.0,528.0,9.0,8.0,8.0
43,607.0,606.0,528.0,9.0,9.0,9.0
44,606.0,607.0,528.0,9.0,8.0,8.0
45,607.0,606.0,528.0,9.0,9.0,8.0
46,606.0,607.0,528.0,8.0,9.0,8.0
47,607.0,606.0,529.0,9.0,9.0,8.0
48,606.0,606.0,529.0,8.0,8.0,8.0
49,606.0,606.0,528.0,9.0,8.0,8.0
50,606.0,606.0,528.0,9.0,8.0,8.0
51,606.0,606.0,528.0,9.0,7.0,9.0
